"snail_ID","Axis1","Axis2","Axis3","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG001",8.45022454102501,-8.0242405707437,1.08956915841477,NA,"female",83.85935305,"Hybrid",NA,"2"
"ANG003",7.20929658496049,-19.1505660512971,7.66647973373371,NA,"female",82.90883605,"Hybrid",NA,"2"
"ANG004",7.1846853755979,-6.49571320955341,-1.72232534752366,NA,"female",82.54648811,"Hybrid",NA,"2"
"ANG007",7.53562658861913,-16.1060083259575,-3.0684405360711,NA,"female",74.38169705,"Hybrid",NA,"2"
"ANG024",0.152690018897765,0.0560644282267924,-0.0187127362033321,NA,"female",78.54297942,"Hybrid",NA,"2"
"ANG026",9.23988801323676,-5.17097445039589,1.90040035457328,NA,"female",79.4047081,"Hybrid",NA,"2"
"ANG030",54.7363066849752,13.3226221500989,-0.952123104113106,NA,"female",82.58148687,"Hybrid",NA,"3"
"ANG051",8.16794038148835,-10.3068061023053,1.5560660114353,NA,"female",74.09284899,"Hybrid",NA,"2"
"ANG056",4.96365749852376,-4.00935277529044,1.00942544735251,NA,"female",72.2487465,"Hybrid",NA,"2"
"ANG057",7.48213840822534,-8.62495596653869,-5.44451949307824,NA,"female",72.41392268,"Hybrid",NA,"2"
"ANG067",7.9098733000541,-25.5835810937242,-3.01003079548612,NA,"female",72.57496647,"Hybrid",NA,"2"
"ANG068",7.47200103008353,-0.849350386804442,13.1499213330708,NA,"female",72.54404242,"Hybrid",NA,"2"
"ANG074",3.53423885211454,14.6246785299427,-3.35762755737534,NA,"female",71.59132711,"Hybrid",NA,"2"
"ANG082",5.65305019251578,-5.64050867952998,3.72909729367301,NA,"female",72.0917108,"Hybrid",NA,"2"
"ANG084",8.15323997698852,-8.06086342574094,2.84047406947363,NA,"female",71.59140547,"Hybrid",NA,"2"
"ANG085",5.40828362557997,-7.85799395271012,-4.2685206611538,NA,"female",71.88745623,"Hybrid",NA,"2"
"ANG089",48.3898476344901,10.4241026087018,0.339323411356935,NA,"female",69.377303,"Hybrid",NA,"3"
"ANG093",6.52416597440498,-11.452730699084,-6.75345723992002,NA,"female",69.98810469,"Hybrid",NA,"2"
"ANG097",5.82767654050032,-4.42271518626556,1.49195829015808,NA,"female",69.17718076,"Hybrid",NA,"2"
"ANG101",7.82301039296358,-24.4363668122688,-3.03448233263194,"Crab","female",65.4565481,"Crab","C_F","2"
"ANG102",5.79718461905638,-18.3323171308801,7.17475616083508,"Crab","female",67.21820643,"Crab","C_F","2"
"ANG103",53.0911496139232,11.9226531645612,-2.97225217703456,"Crab","female",65.49429513,"Crab","C_F","3"
"ANG105",8.13231573471878,-3.55562882202312,2.97638110615284,"Crab","female",67.8365451,"Crab","C_F","2"
"ANG113",6.95267814793716,-12.5364225550293,-3.90897305321807,"Crab","female",67.34345839,"Crab","C_F","2"
"ANG115",7.60140574635887,2.48205129537292,0.559887862022346,"Crab","female",67.89268359,"Crab","C_F","2"
"ANG116",9.09263196302081,-8.33512578046301,-0.86353356110878,"Crab","female",67.59545101,"Crab","C_F","2"
"ANG117",5.51897987478768,-6.71131615794028,-1.97134954563088,"Crab","female",66.92915659,"Crab","C_F","2"
"ANG119",57.1434134927498,12.6603822795169,-2.47425957201129,"Crab","female",66.82809393,"Crab","C_F","3"
"ANG121",55.898320987515,14.5039939573598,-1.34367833407657,"Crab","female",67.12355737,"Crab","C_F","3"
"ANG123",59.2339927671462,12.8327201072274,-3.57083844102187,"Crab","female",67.72830058,"Crab","C_F","3"
"ANG126",43.5757411555616,8.17465359240808,0.605729292408259,"Crab","female",66.83919322,"Crab","C_F","3"
"ANG129",5.94175748519329,-8.25463158600839,0.922129077548864,"Crab","female",66.24375681,"Crab","C_F","2"
"ANG131",10.1291711530569,-11.6279059126484,2.92351546571223,"Crab","female",62.81186175,"Crab","C_F","2"
"ANG132",55.9338577562229,12.2674634723311,-4.15016204728484,"Crab","female",62.91651172,"Crab","C_F","3"
"ANG133",9.55295850104661,-8.80838722866479,-6.44073163282295,"Crab","female",64.35493028,"Crab","C_F","2"
"ANG136",7.70318872759082,-6.90365276226637,12.5305404735164,"Crab","female",66.63022003,"Crab","C_F","2"
"ANG137",7.03275408406347,-5.46610447320139,1.71607793973409,"Crab","female",66.53590764,"Crab","C_F","2"
"ANG138",8.00460216668912,-21.7139005988038,-6.69955498262764,"Crab","female",65.2430416,"Crab","C_F","2"
"ANG141",6.09505574521057,-9.6589930074597,2.21001066807832,"Crab","female",63.56092961,"Crab","C_F","2"
"ANG143",8.0020487470488,-3.42614930853747,2.16847003280012,"Crab","female",64.63765046,"Crab","C_F","2"
"ANG144",6.96956382344768,-4.48295653503105,6.75806486362146,"Crab","female",64.70127189,"Crab","C_F","2"
"ANG146",10.3237272525952,-11.3389797162092,-3.57181408614875,"Crab","female",63.93488847,"Crab","C_F","2"
"ANG149",7.05886957665444,-15.4745381291021,5.53534066251827,"Crab","female",63.32221931,"Crab","C_F","2"
"ANG150",8.54737243171962,-8.15694378233364,0.818764852860026,"Crab","female",62.83608444,"Crab","C_F","2"
"ANG151",8.4321807483405,-8.86258581383417,-1.62057680284534,"Crab","female",62.46153785,"Crab","C_F","2"
"ANG152",56.035639960686,12.9632490749666,-1.1538741975454,"Crab","female",61.89090794,"Crab","C_F","3"
"ANG153",7.02656052732183,-8.48390398430826,-0.649030673867367,"Crab","female",62.9093096,"Crab","C_F","2"
"ANG155",10.379747277228,-6.76471988753585,1.68237100657901,"Crab","female",61.63296822,"Crab","C_F","2"
