"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG192",4.10094565965193,-16.8201484047069,"Crab","female",58.94146739,"Crab","C_F","2"
"ANG193",3.56325445371953,-17.352047929948,"Crab","female",57.03809614,"Crab","C_F","2"
"ANG195",0.403083523506486,-13.0037717554071,"Crab","female",58.43680446,"Crab","C_F","2"
"ANG197",2.4433562358161,-14.8935473294306,"Crab","female",60.09727125,"Crab","C_F","2"
"ANG198",4.43485881487581,-15.1693732732295,"Crab","female",59.31937543,"Crab","C_F","2"
"ANG200",0.932334479930613,-2.46698674377365,"Crab","female",59.30779979,"Crab","C_F","2"
"ANG202",1.82321549129403,-16.0884089803993,"Crab","female",59.29739421,"Crab","C_F","2"
"ANG204",4.75302991475153,-15.6250329567394,"Crab","female",58.98421662,"Crab","C_F","2"
"ANG205",4.6811279290927,-15.0616079404067,"Crab","female",57.55545789,"Crab","C_F","2"
"ANG206",1.19598161037537,-10.6824888526325,"Crab","female",55.93309397,"Crab","C_F","2"
"ANG214",3.49245570997747,-12.3886302521826,"Crab","female",54.69340067,"Crab","C_F","2"
"ANG218",1.54933697643081,-10.5171714475225,"Crab","female",54.25447494,"Crab","C_F","2"
"ANG219",4.0937431811901,-12.4795777080625,"Crab","female",54.03392524,"Crab","C_F","2"
"ANG222",4.13985597536659,-12.4471574023281,"Crab","female",52.98690139,"Crab","C_F","2"
"ANG224",2.50464538825319,-15.5277831475438,"Crab","female",52.01161632,"Crab","C_F","2"
"ANG226",4.58581809118638,-14.1415334084539,"Crab","female",50.32453881,"Crab","C_F","2"
"ANG227",5.71200632719574,-13.1370434296025,"Crab","female",49.84610246,"Crab","C_F","2"
"ANG229",3.80649155631579,-14.4786635365188,"Crab","female",51.28983725,"Crab","C_F","2"
"ANG233",3.44279529547599,-12.6895328813652,"Crab","female",50.63714262,"Crab","C_F","2"
"ANG234",2.71701191949175,-15.7076587284883,"Crab","female",49.20038033,"Crab","C_F","2"
"ANG236",1.07695959698765,-12.5866977236251,"Crab","female",49.83779156,"Crab","C_F","2"
"ANG238",1.88696167434862,-13.5007057138223,"Crab","female",48.84735547,"Crab","C_F","2"
