"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG191",-11.8160482615084,1.31155450825102,"Crab","female",58.84295721,"Crab","C_F","2"
"ANG192",-14.8582235818428,-1.81072312074455,"Crab","female",58.94146739,"Crab","C_F","2"
"ANG193",-14.7909956803709,-4.57323014027912,"Crab","female",57.03809614,"Crab","C_F","2"
"ANG195",-9.58625900428191,-2.05848346410357,"Crab","female",58.43680446,"Crab","C_F","2"
"ANG197",-22.3251094377864,0.231779628249611,"Crab","female",60.09727125,"Crab","C_F","2"
"ANG198",-14.7741063731505,-2.05630998633634,"Crab","female",59.31937543,"Crab","C_F","2"
"ANG200",-2.62773055269544,-0.248999077729579,"Crab","female",59.30779979,"Crab","C_F","2"
"ANG202",-21.2965273084889,-4.48719994491751,"Crab","female",59.29739421,"Crab","C_F","2"
"ANG204",-21.9569110210171,-2.24973291519221,"Crab","female",58.98421662,"Crab","C_F","2"
"ANG205",-17.8223007991793,-4.09475685420987,"Crab","female",57.55545789,"Crab","C_F","2"
"ANG206",-19.4993122603892,-0.241228124794276,"Crab","female",55.93309397,"Crab","C_F","2"
"ANG214",-16.7374031798158,-3.27165434540382,"Crab","female",54.69340067,"Crab","C_F","2"
"ANG218",-21.8032149325741,-1.65306884659681,"Crab","female",54.25447494,"Crab","C_F","2"
"ANG219",-14.8013813368044,-2.61794595195236,"Crab","female",54.03392524,"Crab","C_F","2"
"ANG222",-14.5789656778707,1.21908136994348,"Crab","female",52.98690139,"Crab","C_F","2"
"ANG224",-16.2763473397151,-6.04814463776946,"Crab","female",52.01161632,"Crab","C_F","2"
"ANG226",-13.4296657935838,-1.78515998207118,"Crab","female",50.32453881,"Crab","C_F","2"
"ANG227",-11.6688152709506,-3.57703743690125,"Crab","female",49.84610246,"Crab","C_F","2"
"ANG229",-16.4341474140333,-1.55796858033569,"Crab","female",51.28983725,"Crab","C_F","2"
"ANG233",-14.3422777003197,1.02167753713971,"Crab","female",50.63714262,"Crab","C_F","2"
"ANG234",-16.9781619094047,-7.17377806379081,"Crab","female",49.20038033,"Crab","C_F","2"
"ANG236",-17.6066038475085,-4.85405027159419,"Crab","female",49.83779156,"Crab","C_F","2"
