"snail_ID","sex_dissection","DistAlongPath","ecotype"
"ANG510","female",108.0047839,"Wave"
"ANG511","female",108.8506757,"Wave"
"ANG512","female",108.7931338,"Wave"
"ANG513","female",109.010157,"Wave"
"ANG514","female",109.0953291,"Wave"
"ANG515","female",108.8200509,"Wave"
"ANG516","female",109.0221636,"Wave"
"ANG517","female",109.0408869,"Wave"
"ANG518","female",109.1322701,"Wave"
"ANG519","female",109.2662548,"Wave"
"ANG522","female",110.0197766,"Wave"
"ANG523","female",110.1666863,"Wave"
"ANG524","female",110.3035449,"Wave"
"ANG526","female",110.8219825,"Wave"
"ANG528","female",111.5345994,"Wave"
"ANG530","female",112.0248255,"Wave"
"ANG532","female",127.9761047,"Wave"
"ANG534","female",128.4409954,"Wave"
"ANG535","female",128.8074039,"Wave"
"ANG537","female",129.1433804,"Wave"
"ANG539","female",129.1777956,"Wave"
"ANG540","female",129.30025,"Wave"
"ANG542","female",129.576751,"Wave"
"ANG544","female",129.9252793,"Wave"
"ANG545","female",130.0720804,"Wave"
"ANG546","female",130.2386212,"Wave"
"ANG548","female",130.3767606,"Wave"
"ANG550","female",130.8578356,"Wave"
"ANG552","female",131.9747748,"Wave"
"ANG554","female",133.3994317,"Wave"
"ANG555","female",134.571403,"Wave"
"ANG558","female",135.6330355,"Wave"
"ANG559","female",136.4500198,"Wave"
"ANG562","female",137.5605452,"Wave"
"ANG563","female",138.9684624,"Wave"
"ANG564","female",139.9074511,"Wave"
"ANG566","female",141.0990103,"Wave"
"ANG568","female",142.6895798,"Wave"
"ANG569","female",143.023501,"Wave"
"ANG571","female",143.4001505,"Wave"
"ANG572","female",144.6762703,"Wave"
"ANG574","female",144.6201782,"Wave"
"ANG575","female",146.1183569,"Wave"
"ANG577","female",146.0608021,"Wave"
"ANG580","female",150.1007083,"Wave"
"ANG586","female",152.8617785,"Wave"
"ANG588","female",152.0005146,"Wave"
"ANG591","female",151.6638803,"Wave"
"ANG594","female",152.5893501,"Wave"
"ANG595","female",152.7672364,"Wave"
"ANG596","female",152.7078573,"Wave"
"ANG597","female",152.0735491,"Wave"
"ANG598","female",152.0785863,"Wave"
"ANG599","female",152.0567892,"Wave"
"ANG106","male",66.63456719,"Crab"
"ANG109","male",67.26462315,"Crab"
"ANG111","male",67.45613607,"Crab"
"ANG112","male",65.58096029,"Crab"
"ANG118","male",67.65015741,"Crab"
"ANG120","male",66.03438464,"Crab"
"ANG124","male",66.75713657,"Crab"
"ANG125","male",66.52438463,"Crab"
"ANG127","male",65.79175559,"Crab"
"ANG130","male",64.28554263,"Crab"
"ANG134","male",64.38125506,"Crab"
"ANG135","male",64.81671018,"Crab"
"ANG140","male",64.48466831,"Crab"
"ANG142","male",64.03143335,"Crab"
"ANG145","male",65.49117563,"Crab"
"ANG147","male",64.69234075,"Crab"
"ANG154","male",62.46770351,"Crab"
"ANG156","male",63.07294063,"Crab"
"ANG159","male",61.99682207,"Crab"
"ANG160","male",61.57430741,"Crab"
"ANG161","male",61.0731491,"Crab"
"ANG162","male",60.8261483,"Crab"
"ANG166","male",61.6603954,"Crab"
"ANG167","male",63.08272901,"Crab"
"ANG170","male",62.23633362,"Crab"
"ANG171","male",61.98200871,"Crab"
"ANG173","male",61.07936143,"Crab"
"ANG176","male",60.25692512,"Crab"
"ANG177","male",60.12956759,"Crab"
"ANG181","male",59.62518447,"Crab"
"ANG183","male",60.86467442,"Crab"
"ANG184","male",59.50322859,"Crab"
"ANG185","male",58.82755166,"Crab"
"ANG188","male",59.93483643,"Crab"
"ANG189","male",59.20198441,"Crab"
"ANG194","male",58.12673257,"Crab"
"ANG196","male",59.54209944,"Crab"
"ANG199","male",60.17681238,"Crab"
"ANG201","male",59.71621966,"Crab"
"ANG207","male",56.15588893,"Crab"
"ANG208","male",56.8917112,"Crab"
"ANG209","male",57.52680697,"Crab"
"ANG210","male",57.23651244,"Crab"
"ANG211","male",56.91667454,"Crab"
"ANG213","male",55.01368529,"Crab"
"ANG215","male",55.76040057,"Crab"
"ANG217","male",53.89868369,"Crab"
"ANG220","male",54.47239868,"Crab"
"ANG221","male",54.21186152,"Crab"
"ANG223","male",53.00323972,"Crab"
"ANG225","male",51.49130379,"Crab"
"ANG228","male",50.22690782,"Crab"
"ANG230","male",52.68488425,"Crab"
"ANG231","male",50.68312636,"Crab"
"ANG232","male",50.01403332,"Crab"
"ANG237","male",49.89300842,"Crab"
"ANG242","male",48.3098033,"Crab"
"ANG246","male",47.47379551,"Crab"
"ANG248","male",47.12537599,"Crab"
"ANG250","male",46.11526549,"Crab"
"ANG252","male",6.578057236,"Crab"
"ANG253","male",7.191710248,"Crab"
"ANG257","male",7.566994132,"Crab"
"ANG265","male",1.447879634,"Crab"
"ANG267","male",1.398238897,"Crab"
"ANG408","male",93.2325196,"Wave"
"ANG418","male",93.7706404,"Wave"
"ANG422","male",93.97499712,"Wave"
"ANG435","male",94.42333666,"Wave"
"ANG436","male",94.43488835,"Wave"
"ANG437","male",95.6490122,"Wave"
"ANG441","male",96.09884784,"Wave"
"ANG442","male",95.88914982,"Wave"
"ANG443","male",95.88914982,"Wave"
"ANG447","male",95.34230512,"Wave"
"ANG448","male",95.53798041,"Wave"
"ANG452","male",97.45225859,"Wave"
"ANG458","male",98.35304788,"Wave"
"ANG461","male",98.34997902,"Wave"
"ANG464","male",98.64013742,"Wave"
"ANG465","male",98.03946756,"Wave"
"ANG473","male",103.4187889,"Wave"
"ANG474","male",103.4178178,"Wave"
"ANG485","male",104.4776453,"Wave"
"ANG490","male",105.1810467,"Wave"
"ANG495","male",106.3289604,"Wave"
"ANG497","male",106.6998058,"Wave"
"ANG501","male",107.4606045,"Wave"
"ANG503","male",107.0736028,"Wave"
"ANG507","male",107.6513395,"Wave"
"ANG509","male",108.0937417,"Wave"
"ANG520","male",109.0480799,"Wave"
"ANG521","male",109.956284,"Wave"
"ANG527","male",111.0273806,"Wave"
"ANG529","male",111.8137224,"Wave"
"ANG536","male",128.8861402,"Wave"
"ANG541","male",129.4819448,"Wave"
"ANG549","male",130.6463826,"Wave"
"ANG556","male",134.8185256,"Wave"
"ANG557","male",135.1791823,"Wave"
"ANG560","male",136.4467774,"Wave"
"ANG565","male",140.6601641,"Wave"
"ANG567","male",142.1090505,"Wave"
"ANG570","male",143.0349889,"Wave"
"ANG581","male",150.8686968,"Wave"
"ANG582","male",152.2078875,"Wave"
"ANG584","male",152.2307628,"Wave"
"ANG585","male",152.647239,"Wave"
"ANG589","male",151.8636169,"Wave"
"ANG592","male",152.039132,"Wave"
"ANG593","male",152.1009048,"Wave"
